Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-137266,125138,HA: Cannot start a VM - error: [EFAULT] Failed to create file '/var/db/system/vm/nvram/1_Windows_VARS.fd.new': No such file or directory,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,21/Aug/25 4:35 PM,04/Sep/25 3:42 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137391,125482,"25.10-BETA.1: Empty ""disk"" blocks pool creation and dashboard statistics",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Sep/25 10:34 PM,04/Sep/25 2:37 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137439,125589,Simplify ACL handling in samba for POSIX ACLs,SCALE-25.04.2.4 (Fangtooth),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,04/Sep/25 1:52 PM,04/Sep/25 2:37 PM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137438,125587,fix smart alert for empty SD card reader,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Sep/25 1:10 PM,04/Sep/25 2:19 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137109,124824,Replication fail between datasets,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,11/Aug/25 5:53 PM,04/Sep/25 1:42 PM,Medium,Complete,SCALE-25.04.2 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-136355,123165,Add support for 2 syslog servers to MW,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,17/Jun/25 10:35 AM,04/Sep/25 12:52 PM,High,Complete,,,,Engineering Private,IX_EMPLOYEE,,,,New Feature
NAS-137436,125583,improve validation in vm.device.convert,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Sep/25 10:58 AM,04/Sep/25 11:02 AM,Low,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137434,125575,Fix disk temps when empty SD card readers are present,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Sep/25 9:11 AM,04/Sep/25 9:23 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137423,125555,Follow up to 79885c5 to fix indentation issue,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,03/Sep/25 3:36 PM,04/Sep/25 8:34 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137172,124956,Replication Pull Task: Getting validation error when setting a custom schedule for a pull task,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Aug/25 5:13 PM,04/Sep/25 6:39 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
