Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Labels
Bug,NAS-138583,129847,sorting is not maintained when the grid refreshes,26.0.0-BETA.1,,Done,17/Nov/25 11:14 AM,15/Jan/26 5:51 AM,Low,Complete,SCALE-25.04.2.6 (Fangtooth),,,2604alpha2beta,COMMUNITY_USER,ready_for_assignment,,
Improvement,NAS-138873,133693,Some forms don't show the Unsaved Changes warning,26.0.0-BETA.1,,Done,10/Dec/25 8:34 AM,15/Jan/26 5:51 AM,Medium,Complete,Master - TrueNAS Nightlies,,,2604alpha2beta,IX_EMPLOYEE,,,
Bug,NAS-135677,121091,dashboard app widget Web UI address,26.0.0-BETA.1,,Done,02/May/25 4:58 PM,15/Jan/26 5:35 AM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,COMMUNITY_USER,es-2510,july-2510,ready_for_review,
Defect,NAS-136251,122786,Zvol form: fix compression options and investigate size discrepancies,26.0.0-BETA.1,,Done,09/Jun/25 9:59 AM,15/Jan/26 5:35 AM,Medium,Complete,,,,es-2510,july-2510,,,
Bug,NAS-139213,135936,Replication Tasks search filter is reset when job is started/completed,26.0.0-BETA.1,,Done,07/Jan/26 8:52 PM,15/Jan/26 5:32 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-135779,121326,iscsi wizard doesn't allow creating extents based on snapshots (missing read only),26.0.0-BETA.1,,Done,08/May/25 8:35 AM,13/Jan/26 6:29 PM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,es-2510,IX_EMPLOYEE,july-2510,,
Bug,NAS-139045,134957,USB passthrough broken on 26.04 20251219 build,26.0.0-BETA.1,,Done,21/Dec/25 2:30 PM,11/Jan/26 2:16 PM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-139245,136177,Python type stubs in truenas_pyos repo,26.0.0-BETA.1,,Done,09/Jan/26 1:40 PM,09/Jan/26 1:40 PM,Low,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-138458,128578,"Duplicate ""apps"" user permissions with nested ""Apps"" datasets",26.0.0-BETA.1,,Done,07/Nov/25 7:14 PM,08/Jan/26 9:15 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,2604alpha2beta,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-138896,133979,Add Rsync job misses Save button on mobile,26.0.0-BETA.1,,Done,11/Dec/25 1:32 PM,06/Jan/26 9:44 AM,Low,Complete,SCALE-25.10.0.1 (Goldeye),,,2604alpha2beta,COMMUNITY_USER,ready_for_assignment,,
